MTD:galew,P:1, p:1, q:1, N:155718, B:1, b:5, S:2, M:0, T:3352.0
MTD:tc5,P:1, p:1, q:1, N:155718, B:1, b:5, S:2, M:0, T:2929.0
MTD:galew,P:1, p:1, q:1, N:344444, B:1, b:5, S:2, M:0, T:9867.0
MTD:tc5,P:1, p:1, q:1, N:344444, B:1, b:5, S:2, M:0, T:10840.0
MTD:galew,P:1, p:1, q:1, N:42768, B:1, b:5, S:2, M:0, T:375.0
MTD:tc5,P:1, p:1, q:1, N:42768, B:1, b:5, S:2, M:0, T:410.0
MTD:galew,P:1, p:1, q:1, N:612346, B:1, b:5, S:2, M:0, T:25303.0
MTD:tc5,P:1, p:1, q:1, N:612346, B:1, b:5, S:2, M:0, T:28146.0
MTD:galew,P:1, p:1, q:1, N:86111, B:1, b:5, S:2, M:0, T:1064.0
MTD:tc5,P:1, p:1, q:1, N:86111, B:1, b:5, S:2, M:0, T:1064.0
MTD:galew,P:2, p:2, q:1, N:155718, B:2, b:5, S:2, M:0, T:1786.0
MTD:tc5,P:2, p:2, q:1, N:155718, B:2, b:5, S:2, M:0, T:1524.0
MTD:galew,P:2, p:2, q:1, N:344444, B:2, b:5, S:2, M:0, T:5170.0
MTD:tc5,P:2, p:2, q:1, N:344444, B:2, b:5, S:2, M:0, T:4897.0
MTD:galew,P:2, p:2, q:1, N:42768, B:2, b:5, S:2, M:0, T:262.0
MTD:tc5,P:2, p:2, q:1, N:42768, B:2, b:5, S:2, M:0, T:252.0
MTD:galew,P:2, p:2, q:1, N:612346, B:2, b:5, S:2, M:0, T:12516.0
MTD:tc5,P:2, p:2, q:1, N:612346, B:2, b:5, S:2, M:0, T:13961.0
MTD:galew,P:2, p:2, q:1, N:86111, B:2, b:5, S:2, M:0, T:686.0
MTD:tc5,P:2, p:2, q:1, N:86111, B:2, b:5, S:2, M:0, T:650.0
MTD:galew,P:4, p:4, q:1, N:155718, B:4, b:5, S:2, M:0, T:1193.0
MTD:tc5,P:4, p:4, q:1, N:155718, B:4, b:5, S:2, M:0, T:1127.0
MTD:galew,P:4, p:4, q:1, N:344444, B:4, b:5, S:2, M:0, T:3951.0
MTD:tc5,P:4, p:4, q:1, N:344444, B:4, b:5, S:2, M:0, T:3120.0
MTD:galew,P:4, p:4, q:1, N:42768, B:4, b:5, S:2, M:0, T:259.0
MTD:tc5,P:4, p:4, q:1, N:42768, B:4, b:5, S:2, M:0, T:267.0
MTD:galew,P:4, p:4, q:1, N:612346, B:4, b:5, S:2, M:0, T:7120.0
MTD:tc5,P:4, p:4, q:1, N:612346, B:4, b:5, S:2, M:0, T:8262.0
MTD:galew,P:4, p:4, q:1, N:86111, B:4, b:5, S:2, M:0, T:444.0
MTD:tc5,P:4, p:4, q:1, N:86111, B:4, b:5, S:2, M:0, T:533.0
MTD:galew,P:8, p:8, q:1, N:155718, B:8, b:5, S:2, M:0, T:996.0
MTD:tc5,P:8, p:8, q:1, N:155718, B:8, b:5, S:2, M:0, T:699.0
MTD:galew,P:8, p:8, q:1, N:344444, B:8, b:5, S:2, M:0, T:1997.0
MTD:tc5,P:8, p:8, q:1, N:344444, B:8, b:5, S:2, M:0, T:2295.0
MTD:galew,P:8, p:8, q:1, N:42768, B:8, b:5, S:2, M:0, T:414.0
MTD:tc5,P:8, p:8, q:1, N:42768, B:8, b:5, S:2, M:0, T:387.0
MTD:galew,P:8, p:8, q:1, N:612346, B:8, b:5, S:2, M:0, T:4532.0
MTD:tc5,P:8, p:8, q:1, N:612346, B:8, b:5, S:2, M:0, T:4811.0
MTD:galew,P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:473.0
MTD:tc5,P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:561.0
MTD:galew,P:16, p:16, q:1, N:155718, B:16, b:5, S:2, M:0, T:1156.0
MTD:tc5,P:16, p:16, q:1, N:155718, B:16, b:5, S:2, M:0, T:1286.0
MTD:galew,P:16, p:16, q:1, N:344444, B:16, b:5, S:2, M:0, T:1450.0
MTD:tc5,P:16, p:16, q:1, N:344444, B:16, b:5, S:2, M:0, T:1364.0
MTD:galew,P:16, p:16, q:1, N:42768, B:16, b:5, S:2, M:0, T:742.0
MTD:tc5,P:16, p:16, q:1, N:42768, B:16, b:5, S:2, M:0, T:621.0
MTD:galew,P:16, p:16, q:1, N:612346, B:16, b:5, S:2, M:0, T:2253.0
MTD:tc5,P:16, p:16, q:1, N:612346, B:16, b:5, S:2, M:0, T:2219.0
MTD:galew,P:16, p:16, q:1, N:86111, B:16, b:5, S:2, M:0, T:824.0
MTD:tc5,P:16, p:16, q:1, N:86111, B:16, b:5, S:2, M:0, T:775.0
MTD:galew,P:25, p:25, q:1, N:155718, B:25, b:5, S:2, M:0, T:1333.0
MTD:galew,P:25, p:25, q:1, N:344444, B:25, b:5, S:2, M:0, T:2241.0
MTD:tc5,P:25, p:25, q:1, N:344444, B:25, b:5, S:2, M:0, T:3104.0
MTD:galew,P:25, p:25, q:1, N:42768, B:25, b:5, S:2, M:0, T:1293.0
MTD:tc5,P:25, p:25, q:1, N:42768, B:25, b:5, S:2, M:0, T:1029.0
MTD:tc5,P:25, p:25, q:1, N:612346, B:25, b:5, S:2, M:0, T:4106.0
MTD:tc5,P:25, p:25, q:1, N:86111, B:25, b:5, S:2, M:0, T:1240.0
