MTD:galew, P:1, p:1, q:1, N:155718, B:4, b:5, S:2, M:0, T:192.0
MTD:tc5, P:1, p:1, q:1, N:155718, B:4, b:5, S:2, M:0, T:191.0
MTD:galew, P:1, p:1, q:1, N:344444, B:4, b:5, S:2, M:0, T:449.0
MTD:tc5, P:1, p:1, q:1, N:344444, B:4, b:5, S:2, M:0, T:506.0
MTD:galew, P:1, p:1, q:1, N:42768, B:4, b:5, S:2, M:0, T:86.0
MTD:tc5, P:1, p:1, q:1, N:42768, B:4, b:5, S:2, M:0, T:81.0
MTD:galew, P:1, p:1, q:1, N:612346, B:4, b:5, S:2, M:0, T:978.0
MTD:tc5, P:1, p:1, q:1, N:612346, B:4, b:5, S:2, M:0, T:1647.0
MTD:galew, P:1, p:1, q:1, N:86111, B:4, b:5, S:2, M:0, T:105.0
MTD:tc5, P:1, p:1, q:1, N:86111, B:4, b:5, S:2, M:0, T:103.0
MTD:galew, P:2, p:2, q:1, N:344444, B:4, b:5, S:2, M:0, T:1051.0
MTD:tc5, P:2, p:2, q:1, N:344444, B:4, b:5, S:2, M:0, T:1290.0
MTD:galew, P:2, p:2, q:1, N:612346, B:4, b:5, S:2, M:0, T:1600.0
MTD:tc5, P:2, p:2, q:1, N:612346, B:4, b:5, S:2, M:0, T:1386.0
MTD:galew, P:4, p:4, q:1, N:155718, B:4, b:5, S:2, M:0, T:162.0
MTD:tc5, P:4, p:4, q:1, N:155718, B:4, b:5, S:2, M:0, T:326.0
MTD:galew, P:4, p:4, q:1, N:344444, B:4, b:5, S:2, M:0, T:1002.0
MTD:tc5, P:4, p:4, q:1, N:344444, B:4, b:5, S:2, M:0, T:1339.0
MTD:galew, P:4, p:4, q:1, N:42768, B:4, b:5, S:2, M:0, T:64.0
MTD:tc5, P:4, p:4, q:1, N:42768, B:4, b:5, S:2, M:0, T:85.0
MTD:galew, P:4, p:4, q:1, N:612346, B:4, b:5, S:2, M:0, T:1266.0
MTD:tc5, P:4, p:4, q:1, N:612346, B:4, b:5, S:2, M:0, T:1366.0
MTD:galew, P:4, p:4, q:1, N:86111, B:4, b:5, S:2, M:0, T:118.0
MTD:tc5, P:4, p:4, q:1, N:86111, B:4, b:5, S:2, M:0, T:90.0
MTD:galew, P:8, p:8, q:1, N:155718, B:8, b:5, S:2, M:0, T:507.0
MTD:tc5, P:8, p:8, q:1, N:155718, B:8, b:5, S:2, M:0, T:475.0
MTD:galew, P:8, p:8, q:1, N:344444, B:8, b:5, S:2, M:0, T:1932.0
MTD:tc5, P:8, p:8, q:1, N:344444, B:8, b:5, S:2, M:0, T:1212.0
MTD:galew, P:8, p:8, q:1, N:42768, B:8, b:5, S:2, M:0, T:112.0
MTD:tc5, P:8, p:8, q:1, N:42768, B:8, b:5, S:2, M:0, T:137.0
MTD:galew, P:8, p:8, q:1, N:612346, B:8, b:5, S:2, M:0, T:2209.0
MTD:tc5, P:8, p:8, q:1, N:612346, B:8, b:5, S:2, M:0, T:1824.0
MTD:galew, P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:174.0
MTD:tc5, P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:169.0
