MTD:tc5,P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:561.0
MTD:galew,P:1, p:1, q:1, N:155718, B:4, b:5, S:2, M:0, T:956.0
MTD:tc5,P:1, p:1, q:1, N:155718, B:4, b:5, S:2, M:0, T:996.0
MTD:galew,P:1, p:1, q:1, N:344444, B:4, b:5, S:2, M:0, T:2895.0
MTD:tc5,P:1, p:1, q:1, N:344444, B:4, b:5, S:2, M:0, T:3306.0
MTD:galew,P:1, p:1, q:1, N:42768, B:4, b:5, S:2, M:0, T:128.0
MTD:tc5,P:1, p:1, q:1, N:42768, B:4, b:5, S:2, M:0, T:115.0
MTD:galew,P:1, p:1, q:1, N:86111, B:4, b:5, S:2, M:0, T:315.0
MTD:tc5,P:1, p:1, q:1, N:86111, B:4, b:5, S:2, M:0, T:365.0
MTD:galew,P:2, p:2, q:1, N:155718, B:4, b:5, S:2, M:0, T:1127.0
MTD:tc5,P:2, p:2, q:1, N:155718, B:4, b:5, S:2, M:0, T:896.0
MTD:galew,P:2, p:2, q:1, N:344444, B:4, b:5, S:2, M:0, T:3171.0
MTD:tc5,P:2, p:2, q:1, N:344444, B:4, b:5, S:2, M:0, T:3494.0
MTD:galew,P:2, p:2, q:1, N:42768, B:4, b:5, S:2, M:0, T:210.0
MTD:tc5,P:2, p:2, q:1, N:42768, B:4, b:5, S:2, M:0, T:203.0
MTD:galew,P:2, p:2, q:1, N:86111, B:4, b:5, S:2, M:0, T:402.0
MTD:tc5,P:2, p:2, q:1, N:86111, B:4, b:5, S:2, M:0, T:422.0
MTD:galew,P:4, p:4, q:1, N:155718, B:4, b:5, S:2, M:0, T:1193.0
MTD:tc5,P:4, p:4, q:1, N:155718, B:4, b:5, S:2, M:0, T:1127.0
MTD:galew,P:4, p:4, q:1, N:344444, B:4, b:5, S:2, M:0, T:3951.0
MTD:tc5,P:4, p:4, q:1, N:344444, B:4, b:5, S:2, M:0, T:3120.0
MTD:galew,P:4, p:4, q:1, N:42768, B:4, b:5, S:2, M:0, T:259.0
MTD:tc5,P:4, p:4, q:1, N:42768, B:4, b:5, S:2, M:0, T:267.0
MTD:galew,P:4, p:4, q:1, N:86111, B:4, b:5, S:2, M:0, T:444.0
MTD:tc5,P:4, p:4, q:1, N:86111, B:4, b:5, S:2, M:0, T:533.0
MTD:galew,P:8, p:8, q:1, N:155718, B:8, b:5, S:2, M:0, T:996.0
MTD:tc5,P:8, p:8, q:1, N:155718, B:8, b:5, S:2, M:0, T:699.0
MTD:galew,P:8, p:8, q:1, N:344444, B:8, b:5, S:2, M:0, T:1997.0
MTD:tc5,P:8, p:8, q:1, N:344444, B:8, b:5, S:2, M:0, T:2295.0
MTD:galew,P:8, p:8, q:1, N:42768, B:8, b:5, S:2, M:0, T:414.0
MTD:tc5,P:8, p:8, q:1, N:42768, B:8, b:5, S:2, M:0, T:387.0
MTD:galew,P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:473.0
MTD:tc5,P:8, p:8, q:1, N:86111, B:8, b:5, S:2, M:0, T:561.0
