MTD:galew, P:1, p:1, q:1, N:155718, B:4, b:5, T:182.0
MTD:tc5, P:1, p:1, q:1, N:155718, B:4, b:5, T:165.0
MTD:galew, P:1, p:1, q:1, N:344444, B:4, b:5, T:488.0
MTD:tc5, P:1, p:1, q:1, N:344444, B:4, b:5, T:690.0
MTD:galew, P:1, p:1, q:1, N:42768, B:4, b:5, T:75.0
MTD:tc5, P:1, p:1, q:1, N:42768, B:4, b:5, T:73.0
MTD:tc5, P:1, p:1, q:1, N:612346, B:4, b:5, T:1509.0
MTD:galew, P:1, p:1, q:1, N:86111, B:4, b:5, T:96.0
MTD:tc5, P:1, p:1, q:1, N:86111, B:4, b:5, T:97.0
MTD:galew, P:2, p:2, q:1, N:155718, B:2, b:5, T:606.0
MTD:galew, P:2, p:2, q:1, N:155718, B:2, b:5, T:405.0
MTD:tc5, P:2, p:2, q:1, N:155718, B:2, b:5, T:494.0
MTD:tc5, P:2, p:2, q:1, N:155718, B:2, b:5, T:289.0
MTD:galew, P:2, p:2, q:1, N:344444, B:2, b:5, T:861.0
MTD:galew, P:2, p:2, q:1, N:344444, B:2, b:5, T:1156.0
MTD:tc5, P:2, p:2, q:1, N:344444, B:2, b:5, T:1418.0
MTD:tc5, P:2, p:2, q:1, N:344444, B:2, b:5, T:1511.0
MTD:galew P:2, p:2, q:1, N:42768, B:2, b:5, T:161.0
MTD:galew, P:2, p:2, q:1, N:42768, B:2, b:5, T:168.0
MTD:galew, P:2, p:2, q:1, N:42768, B:2, b:5, T:55.0
MTD:tc5, P:2, p:2, q:1, N:42768, B:2, b:5, T:243.0
MTD:tc5, P:2, p:2, q:1, N:42768, B:2, b:5, T:52.0
MTD:galew, P:2, p:2, q:1, N:612346, B:2, b:5, T:1810.0
MTD:galew, P:2, p:2, q:1, N:612346, B:2, b:5, T:1778.0
MTD:tc5, P:2, p:2, q:1, N:612346, B:2, b:5, T:2742.0
MTD:galew, P:2, p:2, q:1, N:86111, B:2, b:5, T:368.0
MTD:galew, P:2, p:2, q:1, N:86111, B:2, b:5, T:97.0
MTD:tc5, P:2, p:2, q:1, N:86111, B:2, b:5, T:427.0
MTD:tc5, P:2, p:2, q:1, N:86111, B:2, b:5, T:100.0
MTD:galew, P:4, p:4, q:1, N:155718, B:4, b:5, T:164.0
MTD:tc5, P:4, p:4, q:1, N:155718, B:4, b:5, T:230.0
MTD:galew, P:4, p:4, q:1, N:344444, B:4, b:5, T:666.0
MTD:tc5, P:4, p:4, q:1, N:344444, B:4, b:5, T:1310.0
MTD:galew, P:4, p:4, q:1, N:42768, B:4, b:5, T:70.0
MTD:tc5, P:4, p:4, q:1, N:42768, B:4, b:5, T:84.0
MTD:galew, P:4, p:4, q:1, N:612346, B:4, b:5, T:1527.0
MTD:tc5, P:4, p:4, q:1, N:612346, B:4, b:5, T:1433.0
MTD:galew, P:4, p:4, q:1, N:86111, B:4, b:5, T:84.0
MTD:tc5, P:4, p:4, q:1, N:86111, B:4, b:5, T:120.0
MTD:galew, P:8, p:8, q:1, N:155718, B:8, b:5, T:317.0
MTD:tc5, P:8, p:8, q:1, N:155718, B:8, b:5, T:363.0
MTD:galew, P:8, p:8, q:1, N:344444, B:8, b:5, T:992.0
MTD:tc5, P:8, p:8, q:1, N:344444, B:8, b:5, T:656.0
MTD:galew, P:8, p:8, q:1, N:42768, B:8, b:5, T:96.0
MTD:tc5, P:8, p:8, q:1, N:42768, B:8, b:5, T:122.0
MTD:galew, P:8, p:8, q:1, N:612346, B:8, b:5, T:1989.0
MTD:tc5, P:8, p:8, q:1, N:612346, B:8, b:5, T:1680.0
MTD:galew, P:8, p:8, q:1, N:86111, B:8, b:5, T:191.0
MTD:tc5, P:8, p:8, q:1, N:86111, B:8, b:5, T:182.0
MTD:galew,0 P:16, p:16, q:1, N:155718, B:16, b:5, T:635.0
MTD:tc5,0 P:16, p:16, q:1, N:155718, B:16, b:5, T:623.0
MTD:galew,0 P:16, p:16, q:1, N:344444, B:16, b:5, T:732.0
MTD:tc5,0 P:16, p:16, q:1, N:344444, B:16, b:5, T:588.0
MTD:galew,0 P:16, p:16, q:1, N:42768, B:16, b:5, T:254.0
MTD:tc5,0 P:16, p:16, q:1, N:42768, B:16, b:5, T:222.0
MTD:galew,0 P:16, p:16, q:1, N:612346, B:16, b:5, T:1071.0
MTD:tc5,0 P:16, p:16, q:1, N:612346, B:16, b:5, T:1209.0
MTD:galew,0 P:16, p:16, q:1, N:86111, B:16, b:5, T:434.0
MTD:tc5,0 P:16, p:16, q:1, N:86111, B:16, b:5, T:309.0
